=== Partida ===
Configuración:
  Estrategias: GraaskampStrategy vs RandomStrategy
  Rondas: 100
  Scoring:
    - Cooperación mutua: 3
    - Defección mutua: 1
    - Traición: 5/0 (traidor/traicionado)
Desarrollo:
Ronda 72: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 73: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 74: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 75: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 76: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 77: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 78: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 79: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 80: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 81: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 82: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 83: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 84: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 85: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 86: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 87: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 88: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 89: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 90: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 91: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 92: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 93: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 94: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 95: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 96: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 97: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 98: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 99: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 100: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Resumen:
  GraaskampStrategy:
    - Puntuación final: 235
    - Cooperaciones: 53.00%
    - Defecciones: 47.00%
  RandomStrategy:
    - Puntuación final: 230
    - Cooperaciones: 54.00%
    - Defecciones: 46.00%
